x,y,z
44.310533,-78.355857,228.3
44.310413,-78.356071,228.7
44.310303,-78.356272,228.9
44.310169,-78.356499,228.8
44.310048,-78.356702,228.7
44.309918,-78.356914,228.9
44.309789,-78.357104,229.0
44.309656,-78.357292,229.0
44.309529,-78.357476,229.0
44.309422,-78.357733,229.1
44.309289,-78.357948,229.3
44.309164,-78.358134,229.6
44.309038,-78.358345,230.1
44.308895,-78.358569,230.6
44.308784,-78.358776,230.9
44.308653,-78.358988,231.0
44.308523,-78.35921,231.0
44.308402,-78.359456,231.0
44.308302,-78.359671,231.0
44.308195,-78.359934,231.1
44.308053,-78.360149,231.4
44.307915,-78.360346,232.2
44.307777,-78.360568,232.8
44.307636,-78.360794,233.0
44.307521,-78.360998,233.0
44.307469,-78.361085,233.0
44.307606,-78.360932,233.0
44.307676,-78.360875,233.0
44.30783,-78.360713,233.0
44.307956,-78.360519,233.0
44.308069,-78.360317,233.0
44.308165,-78.360121,233.0
44.308089,-78.360219,233.0
44.30794,-78.3604,233.0
44.307802,-78.360594,233.1
44.307662,-78.360756,233.2
44.307529,-78.360961,233.3
44.307412,-78.3612,233.6
44.307283,-78.361429,233.7
44.30718,-78.361645,233.9
44.307077,-78.361868,233.0
44.306986,-78.362102,231.8
44.306883,-78.362361,231.7
44.306827,-78.362652,231.8
44.306752,-78.362912,232.0
44.306701,-78.363187,232.2
44.306659,-78.363471,232.4
44.306657,-78.363777,232.8
44.306664,-78.364052,233.2
44.306674,-78.364315,233.3
44.3067,-78.364592,233.4
44.306718,-78.364887,233.5
44.306764,-78.365176,233.7
44.306853,-78.365414,233.8
44.306938,-78.36568,234.0
44.307019,-78.365907,234.2
44.30711,-78.366147,234.3
44.307185,-78.366397,234.3
44.307291,-78.366612,234.3
44.307356,-78.366704,234.3
44.307421,-78.366846,234.4
44.307543,-78.367061,234.6
44.307663,-78.36726,234.9
44.30782,-78.367462,235.1
44.307959,-78.367627,235.3
44.308126,-78.367808,235.5
44.308303,-78.367971,235.9
44.308481,-78.368116,236.7
44.308654,-78.368263,237.5
44.308827,-78.368431,238.1
44.308989,-78.368592,238.4
44.309153,-78.368724,238.5
44.30932,-78.368897,238.5
44.309484,-78.369089,238.6
44.30963,-78.369289,238.9
44.309757,-78.369472,239.1
44.309904,-78.369688,239.2
44.310021,-78.369887,239.3
44.310155,-78.370111,239.5
44.310273,-78.370356,239.6
44.310375,-78.370604,239.8
44.310461,-78.370856,238.5
44.310561,-78.371079,238.3
44.310621,-78.371331,238.2
44.31066,-78.371587,238.0
44.310694,-78.371863,237.8
44.310698,-78.372041,237.6
44.310716,-78.372146,237.7
44.310713,-78.372041,237.8
44.310681,-78.371785,238.0
44.310629,-78.371526,238.2
44.310576,-78.371271,238.3
44.310517,-78.371019,238.3
44.310426,-78.370777,238.8
44.31031,-78.370539,239.7
44.310209,-78.370291,239.6
44.310097,-78.370059,239.5
44.309973,-78.369838,239.3
44.309854,-78.369603,239.2
44.309714,-78.369399,239.0
44.30955,-78.369204,238.9
44.309396,-78.369017,238.6
44.309239,-78.368836,238.5
44.309077,-78.368679,238.5
44.308923,-78.368513,238.4
44.308759,-78.368356,238.2
44.308591,-78.368182,237.7
44.308419,-78.368042,237.1
44.308252,-78.367879,236.2
44.308085,-78.367725,235.7
44.307933,-78.367555,235.4
44.30778,-78.367393,235.3
44.307734,-78.367324,235.2
44.30783,-78.367435,235.1
44.307983,-78.367613,235.3
44.308132,-78.367763,235.5
44.308284,-78.36791,235.8
44.308455,-78.368066,236.4
44.308602,-78.368243,237.3
44.308778,-78.368394,237.9
44.308931,-78.368528,238.3
44.3091,-78.368667,238.4
44.309264,-78.368823,238.5
44.309414,-78.36899,238.6
44.309547,-78.369181,238.8
44.309685,-78.369351,239.0
44.309815,-78.369534,239.1
44.309934,-78.369726,239.2
44.310051,-78.369917,239.4
44.310177,-78.370132,239.5
44.310286,-78.370368,239.6
44.310376,-78.3706,239.8
44.310453,-78.370829,238.6
44.310545,-78.371047,238.3
44.310621,-78.371282,238.2
44.310675,-78.371551,238.1
44.31071,-78.371822,237.8
44.310743,-78.372073,237.5
44.310739,-78.372082,237.5
44.310729,-78.37199,237.7
44.310673,-78.371725,237.9
44.31062,-78.37145,238.2
44.310557,-78.37121,238.3
44.310474,-78.370972,238.3
44.310372,-78.370737,239.2
44.310305,-78.370469,239.7
44.310201,-78.370234,239.6
44.310098,-78.370017,239.4
44.309973,-78.369803,239.3
44.30986,-78.369606,239.2
44.309726,-78.369387,239.0
44.30958,-78.369205,238.8
44.30944,-78.369035,238.6
44.309282,-78.368868,238.5
44.309124,-78.368722,238.5
44.308966,-78.368549,238.3
44.308803,-78.368388,238.0
44.308642,-78.368237,237.3
